ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Test,QA,Production,Performance,Notes
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Agent.The_agent_is_suspect._No_response_within_last_minutes_1_5_Rule,Rule,MSSQL on Windows: The agent is suspect. No response within last minutes,"This behavior occurs because the replication agent is too busy to respond when SQL Server Enterprise Manager polls the replication agent; therefore, SQL Server Enterprise Manager does not know the status of the replication agent and it cannot report whether the replication agent is functioning or not.",Priority,int,1,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Agent.The_agent_is_suspect._No_response_within_last_minutes_1_5_Rule,Rule,MSSQL on Windows: The agent is suspect. No response within last minutes,"This behavior occurs because the replication agent is too busy to respond when SQL Server Enterprise Manager polls the replication agent; therefore, SQL Server Enterprise Manager does not know the status of the replication agent and it cannot report whether the replication agent is functioning or not.",Severity,int,2,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Agent.Unable_to_connect_to_SQL_Server_1_5_Rule,Rule,MSSQL on Windows: SQL Server Agent is unable to connect to SQL Server,The SQL Server Agent Service could not connect to the instance of SQL Server. This error may occur when the SQL Server Agent service account does not have a valid login on SQL Server,AllowProxying,bool,FALSE,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Agent.Unable_to_connect_to_SQL_Server_1_5_Rule,Rule,MSSQL on Windows: SQL Server Agent is unable to connect to SQL Server,The SQL Server Agent Service could not connect to the instance of SQL Server. This error may occur when the SQL Server Agent service account does not have a valid login on SQL Server,Enabled,bool,TRUE,FALSE,TRUE,TRUE,TRUE,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Agent.Unable_to_connect_to_SQL_Server_1_5_Rule,Rule,MSSQL on Windows: SQL Server Agent is unable to connect to SQL Server,The SQL Server Agent Service could not connect to the instance of SQL Server. This error may occur when the SQL Server Agent service account does not have a valid login on SQL Server,Priority,int,1,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Agent.Unable_to_connect_to_SQL_Server_1_5_Rule,Rule,MSSQL on Windows: SQL Server Agent is unable to connect to SQL Server,The SQL Server Agent Service could not connect to the instance of SQL Server. This error may occur when the SQL Server Agent service account does not have a valid login on SQL Server,Severity,int,1,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Agent.Unable_to_re_open_the_local_eventlog_1_5_Rule,Rule,MSSQL on Windows: Unable to re-open the local eventlog,SQL Server Agent was unable to open the local event log.,AllowProxying,bool,FALSE,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Agent.Unable_to_re_open_the_local_eventlog_1_5_Rule,Rule,MSSQL on Windows: Unable to re-open the local eventlog,SQL Server Agent was unable to open the local event log.,Enabled,bool,TRUE,FALSE,TRUE,TRUE,TRUE,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Agent.Unable_to_re_open_the_local_eventlog_1_5_Rule,Rule,MSSQL on Windows: Unable to re-open the local eventlog,SQL Server Agent was unable to open the local event log.,Priority,int,1,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Agent.Unable_to_re_open_the_local_eventlog_1_5_Rule,Rule,MSSQL on Windows: Unable to re-open the local eventlog,SQL Server Agent was unable to open the local event log.,Severity,int,1,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.AvailabilityReplica.BytesReceivedFromReplicaPerSecond,Rule,MSSQL on Windows: Bytes Received from Replica / sec,Total number of bytes received from this replica over the network for the AG.,Enabled,bool,TRUE,FALSE,FALSE,TRUE,TRUE,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.AvailabilityReplica.BytesReceivedFromReplicaPerSecond,Rule,MSSQL on Windows: Bytes Received from Replica / sec,Total number of bytes received from this replica over the network for the AG.,IntervalSeconds,int,900,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.AvailabilityReplica.BytesReceivedFromReplicaPerSecond,Rule,MSSQL on Windows: Bytes Received from Replica / sec,Total number of bytes received from this replica over the network for the AG.,SqlTimeoutSeconds,int,15,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.AvailabilityReplica.BytesReceivedFromReplicaPerSecond,Rule,MSSQL on Windows: Bytes Received from Replica / sec,Total number of bytes received from this replica over the network for the AG.,TimeoutSeconds,int,300,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.AvailabilityReplica.BytesSentToReplicaPerSecond,Rule,MSSQL on Windows: Bytes Sent to Replica / sec,The number of database message bytes enqueued to be send over the network to this replica. The bytes include messages for all databases in the AG.,Enabled,bool,TRUE,FALSE,FALSE,TRUE,TRUE,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.AvailabilityReplica.BytesSentToReplicaPerSecond,Rule,MSSQL on Windows: Bytes Sent to Replica / sec,The number of database message bytes enqueued to be send over the network to this replica. The bytes include messages for all databases in the AG.,IntervalSeconds,int,900,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.AvailabilityReplica.BytesSentToReplicaPerSecond,Rule,MSSQL on Windows: Bytes Sent to Replica / sec,The number of database message bytes enqueued to be send over the network to this replica. The bytes include messages for all databases in the AG.,SqlTimeoutSeconds,int,15,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.AvailabilityReplica.BytesSentToReplicaPerSecond,Rule,MSSQL on Windows: Bytes Sent to Replica / sec,The number of database message bytes enqueued to be send over the network to this replica. The bytes include messages for all databases in the AG.,TimeoutSeconds,int,300,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.AvailabilityReplica.BytesSentToTransportPerSecond,Rule,MSSQL on Windows: Bytes Sent to Transport / sec,The total number of bytes send over the network to the replica.,Enabled,bool,TRUE,FALSE,FALSE,TRUE,TRUE,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.AvailabilityReplica.BytesSentToTransportPerSecond,Rule,MSSQL on Windows: Bytes Sent to Transport / sec,The total number of bytes send over the network to the replica.,IntervalSeconds,int,900,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.AvailabilityReplica.BytesSentToTransportPerSecond,Rule,MSSQL on Windows: Bytes Sent to Transport / sec,The total number of bytes send over the network to the replica.,SqlTimeoutSeconds,int,15,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.AvailabilityReplica.BytesSentToTransportPerSecond,Rule,MSSQL on Windows: Bytes Sent to Transport / sec,The total number of bytes send over the network to the replica.,TimeoutSeconds,int,300,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.AvailabilityReplica.FlowControlPerSecond,Rule,MSSQL on Windows: Flow Control / sec,Number of flow controls enabled for this replica per second.,Enabled,bool,TRUE,FALSE,FALSE,TRUE,TRUE,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.AvailabilityReplica.FlowControlPerSecond,Rule,MSSQL on Windows: Flow Control / sec,Number of flow controls enabled for this replica per second.,IntervalSeconds,int,900,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.AvailabilityReplica.FlowControlPerSecond,Rule,MSSQL on Windows: Flow Control / sec,Number of flow controls enabled for this replica per second.,SqlTimeoutSeconds,int,15,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.AvailabilityReplica.FlowControlPerSecond,Rule,MSSQL on Windows: Flow Control / sec,Number of flow controls enabled for this replica per second.,TimeoutSeconds,int,300,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.AvailabilityReplica.FlowControlTimeSeconds,Rule,MSSQL on Windows: Flow Control Time (ms/sec),The number of milliseconds flow control was enabled to this replica within the last second.,Enabled,bool,TRUE,FALSE,FALSE,TRUE,TRUE,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.AvailabilityReplica.FlowControlTimeSeconds,Rule,MSSQL on Windows: Flow Control Time (ms/sec),The number of milliseconds flow control was enabled to this replica within the last second.,IntervalSeconds,int,900,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.AvailabilityReplica.FlowControlTimeSeconds,Rule,MSSQL on Windows: Flow Control Time (ms/sec),The number of milliseconds flow control was enabled to this replica within the last second.,SqlTimeoutSeconds,int,15,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.AvailabilityReplica.FlowControlTimeSeconds,Rule,MSSQL on Windows: Flow Control Time (ms/sec),The number of milliseconds flow control was enabled to this replica within the last second.,TimeoutSeconds,int,300,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.AvailabilityReplica.ReceivesFromReplicaPerSecond,Rule,MSSQL on Windows: Receives from Replica / sec,Total number of messages received from this replica for the AG.,Enabled,bool,TRUE,FALSE,FALSE,TRUE,TRUE,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.AvailabilityReplica.ReceivesFromReplicaPerSecond,Rule,MSSQL on Windows: Receives from Replica / sec,Total number of messages received from this replica for the AG.,IntervalSeconds,int,900,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.AvailabilityReplica.ReceivesFromReplicaPerSecond,Rule,MSSQL on Windows: Receives from Replica / sec,Total number of messages received from this replica for the AG.,SqlTimeoutSeconds,int,15,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.AvailabilityReplica.ReceivesFromReplicaPerSecond,Rule,MSSQL on Windows: Receives from Replica / sec,Total number of messages received from this replica for the AG.,TimeoutSeconds,int,300,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.AvailabilityReplica.ResentMessagesPerSecond,Rule,MSSQL on Windows: Resent Messages / sec,The rate per second to get acknowledgements for  messages sent to the replica.,Enabled,bool,TRUE,FALSE,FALSE,TRUE,TRUE,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.AvailabilityReplica.ResentMessagesPerSecond,Rule,MSSQL on Windows: Resent Messages / sec,The rate per second to get acknowledgements for  messages sent to the replica.,IntervalSeconds,int,900,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.AvailabilityReplica.ResentMessagesPerSecond,Rule,MSSQL on Windows: Resent Messages / sec,The rate per second to get acknowledgements for  messages sent to the replica.,SqlTimeoutSeconds,int,15,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.AvailabilityReplica.ResentMessagesPerSecond,Rule,MSSQL on Windows: Resent Messages / sec,The rate per second to get acknowledgements for  messages sent to the replica.,TimeoutSeconds,int,300,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.AvailabilityReplica.SendsToReplicaPerSecond,Rule,MSSQL on Windows: Sends to Replica / sec,Number of messages enqueued to be send over the network to this replica.,Enabled,bool,TRUE,FALSE,FALSE,TRUE,TRUE,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.AvailabilityReplica.SendsToReplicaPerSecond,Rule,MSSQL on Windows: Sends to Replica / sec,Number of messages enqueued to be send over the network to this replica.,IntervalSeconds,int,900,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.AvailabilityReplica.SendsToReplicaPerSecond,Rule,MSSQL on Windows: Sends to Replica / sec,Number of messages enqueued to be send over the network to this replica.,SqlTimeoutSeconds,int,15,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.AvailabilityReplica.SendsToReplicaPerSecond,Rule,MSSQL on Windows: Sends to Replica / sec,Number of messages enqueued to be send over the network to this replica.,TimeoutSeconds,int,300,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.AvailabilityReplica.SendsToTransportPerSecond,Rule,MSSQL on Windows: Sends to Transport / sec,Number of messages sent over the network to this replica. This account for all the messages sent from this replica including control messages.,Enabled,bool,TRUE,FALSE,FALSE,TRUE,TRUE,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.AvailabilityReplica.SendsToTransportPerSecond,Rule,MSSQL on Windows: Sends to Transport / sec,Number of messages sent over the network to this replica. This account for all the messages sent from this replica including control messages.,IntervalSeconds,int,900,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.AvailabilityReplica.SendsToTransportPerSecond,Rule,MSSQL on Windows: Sends to Transport / sec,Number of messages sent over the network to this replica. This account for all the messages sent from this replica including control messages.,SqlTimeoutSeconds,int,15,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.AvailabilityReplica.SendsToTransportPerSecond,Rule,MSSQL on Windows: Sends to Transport / sec,Number of messages sent over the network to this replica. This account for all the messages sent from this replica including control messages.,TimeoutSeconds,int,300,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Container.SpaceFreeMB,Rule,MSSQL on Windows: Memory-Optimized Data Filegroup container free space (MB),Collects the amount of free space available for the Memory-Optimized Data Filegroup container (in Megabytes).,AzureMaxFileSizeMB,int,1048576,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Container.SpaceFreeMB,Rule,MSSQL on Windows: Memory-Optimized Data Filegroup container free space (MB),Collects the amount of free space available for the Memory-Optimized Data Filegroup container (in Megabytes).,Enabled,bool,TRUE,FALSE,FALSE,TRUE,TRUE,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Container.SpaceFreeMB,Rule,MSSQL on Windows: Memory-Optimized Data Filegroup container free space (MB),Collects the amount of free space available for the Memory-Optimized Data Filegroup container (in Megabytes).,IntervalSeconds,int,900,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Container.SpaceFreeMB,Rule,MSSQL on Windows: Memory-Optimized Data Filegroup container free space (MB),Collects the amount of free space available for the Memory-Optimized Data Filegroup container (in Megabytes).,SqlTimeoutSeconds,int,15,,,,,
Microsoft.SQLServer.Windows.Monitoring,Microsoft.SQLServer.Windows.CollectionRule.Container.SpaceFreeMB,Rule,MSSQL on Windows: Memory-Optimized Data Filegroup container free space (MB),Collects the amount of free space available for the Memory-Optimized Data Filegroup container (in Megabytes).,SyncTime,string,,,,,,
