ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Test,QA,Production,Performance,Domain Controller,IIS,Exchange,Database,Notes
Microsoft.Windows.Server.2016.Discovery,Microsoft.Windows.Server.10.0.DiskPartitionContainsLogicalDisk.Discovery,Discovery,Disk Partition to Logical Disk Discovery Rule,This rule discovers the relationships between disk partitions and logical disks,Enabled,bool,TRUE,,,,,,,,,
Microsoft.Windows.Server.2016.Discovery,Microsoft.Windows.Server.10.0.DiskPartitionContainsLogicalDisk.Discovery,Discovery,Disk Partition to Logical Disk Discovery Rule,This rule discovers the relationships between disk partitions and logical disks,TimeoutSeconds,int,360,,,,,,,,,
Microsoft.Windows.Server.2016.Discovery,Microsoft.Windows.Server.10.0.DiskPartitionContainsLogicalDisk.Discovery,Discovery,Disk Partition to Logical Disk Discovery Rule,This rule discovers the relationships between disk partitions and logical disks,IntervalSeconds,int,14400,,,,,,,,,
Microsoft.Windows.Server.2016.Discovery,Microsoft.Windows.Server.10.0.MountPoint.Discovery,Discovery,Mount Point Discovery Rule,"This Discovery Rule discovers and populates the Windows Server Class named “Windows Server 2016 and 1709+ Logical Disk"" with instances of Mount Points that are discovered on Windows Server 2016 and 1709+ operating systems.",Enabled,bool,FALSE,,,,,,,,,
Microsoft.Windows.Server.2016.Discovery,Microsoft.Windows.Server.10.0.MountPoint.Discovery,Discovery,Mount Point Discovery Rule,"This Discovery Rule discovers and populates the Windows Server Class named “Windows Server 2016 and 1709+ Logical Disk"" with instances of Mount Points that are discovered on Windows Server 2016 and 1709+ operating systems.",IntervalSeconds,int,86520,,,,,,,,,
Microsoft.Windows.Server.2016.Discovery,Microsoft.Windows.Server.10.0.MountPoint.Discovery,Discovery,Mount Point Discovery Rule,"This Discovery Rule discovers and populates the Windows Server Class named “Windows Server 2016 and 1709+ Logical Disk"" with instances of Mount Points that are discovered on Windows Server 2016 and 1709+ operating systems.",TimeoutSeconds,int,360,,,,,,,,,
Microsoft.Windows.Server.2016.Discovery,Microsoft.Windows.Server.10.0.Full.AllServersComputerGroupDiscovery,Discovery,Populate All Windows Server 2016 Computer Group (Full),"This Discovery Rule discovers and populates the Windows Server Computer group named ""Windows Server 2016 Computer Group (Full)"" with instances of computers that are running Windows Server 2016.",Enabled,bool,TRUE,,,,,,,,,
Microsoft.Windows.Server.2016.Discovery,Microsoft.Windows.Server.10.0.PhysicalDisk.Discovery,Discovery,Discover Windows Physical Disks,This rule uses WMI to discover all physical disks of Windows Server 2016 and 1709+ operating systems.,Enabled,bool,FALSE,,,,,,,,,
Microsoft.Windows.Server.2016.Discovery,Microsoft.Windows.Server.10.0.PhysicalDisk.Discovery,Discovery,Discover Windows Physical Disks,This rule uses WMI to discover all physical disks of Windows Server 2016 and 1709+ operating systems.,IntervalSeconds,int,86880,,,,,,,,,
Microsoft.Windows.Server.2016.Discovery,Microsoft.Windows.Server.10.0.PhysicalDisk.Discovery,Discovery,Discover Windows Physical Disks,This rule uses WMI to discover all physical disks of Windows Server 2016 and 1709+ operating systems.,TimeoutSeconds,int,360,,,,,,,,,
Microsoft.Windows.Server.2016.Discovery,Microsoft.Windows.Server.10.0.Computer.Discovery,Discovery,Discover Windows 2016 and 1709+ Servers,"This Discovery Rule discovers and populates the Windows Server class named “Windows Server 2016 and 1709+ Computer"" with instances of computers that are running Windows Server 2016 and 1709+ operating systems.",Enabled,bool,TRUE,,,,,,,,,
Microsoft.Windows.Server.2016.Discovery,Microsoft.Windows.Server.10.0.Computer.Discovery,Discovery,Discover Windows 2016 and 1709+ Servers,"This Discovery Rule discovers and populates the Windows Server class named “Windows Server 2016 and 1709+ Computer"" with instances of computers that are running Windows Server 2016 and 1709+ operating systems.",IntervalSeconds,int,86400,,,,,,,,,
Microsoft.Windows.Server.2016.Discovery,Microsoft.Windows.Server.10.0.Computer.Discovery,Discovery,Discover Windows 2016 and 1709+ Servers,"This Discovery Rule discovers and populates the Windows Server class named “Windows Server 2016 and 1709+ Computer"" with instances of computers that are running Windows Server 2016 and 1709+ operating systems.",TimeoutSeconds,int,360,,,,,,,,,
Microsoft.Windows.Server.2016.Discovery,Microsoft.Windows.Server.10.0.Nano.AllServersComputerGroupDiscovery,Discovery,Populate All Windows Server 2016 Computer Group (Nano),"This Discovery Rule discovers and populates the Windows Server Computer group named ""Windows Server 2016 Computer Group (Nano)"" with instances of computers that are running Windows Server 2016.",Enabled,bool,TRUE,,,,,,,,,
Microsoft.Windows.Server.2016.Discovery,Microsoft.Windows.Server.10.0.DiskPartition.Discovery,Discovery,Discover Windows Disk Partitions,This rule uses WMI to discover all disk partitions of Windows Server 2016 and 1709+ operating systems.,Enabled,bool,FALSE,,,,,,,,,
Microsoft.Windows.Server.2016.Discovery,Microsoft.Windows.Server.10.0.DiskPartition.Discovery,Discovery,Discover Windows Disk Partitions,This rule uses WMI to discover all disk partitions of Windows Server 2016 and 1709+ operating systems.,Frequency,int,86700,,,,,,,,,
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.NetworkAdapter.OutputQueueLength.Collection,Rule,Output Queue Length,Rule collects Network Interface\Output Queue Length counter.,Enabled,bool,FALSE,FALSE,,,TRUE,,,,,Network related performance counter. Ideally should always be 0. Can bottleneck and if higher than 2 consistently it can cause delays.
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.NetworkAdapter.OutputQueueLength.Collection,Rule,Output Queue Length,Rule collects Network Interface\Output Queue Length counter.,Tolerance,double,2,,,,,,,,,
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.NetworkAdapter.OutputQueueLength.Collection,Rule,Output Queue Length,Rule collects Network Interface\Output Queue Length counter.,MaximumSampleSeparation,int,12,,,,,,,,,
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.NetworkAdapter.OutputQueueLength.Collection,Rule,Output Queue Length,Rule collects Network Interface\Output Queue Length counter.,Frequency,int,300,900,600,300,120,,,,,
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.TCPv6.ConnectionsReset.Collection,Rule,TCPv6 Connections Reset,The rule collects TCPv6\Connections Reset performance counter.,Enabled,bool,FALSE,FALSE,FALSE,,TRUE,,,TRUE,TRUE,Increasing numbers can indicate issues with bandwidth.
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.TCPv6.ConnectionsReset.Collection,Rule,TCPv6 Connections Reset,The rule collects TCPv6\Connections Reset performance counter.,Tolerance,double,10,,,,,,,,,
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.TCPv6.ConnectionsReset.Collection,Rule,TCPv6 Connections Reset,The rule collects TCPv6\Connections Reset performance counter.,MaximumSampleSeparation,int,25,,,,,,,,,
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.TCPv6.ConnectionsReset.Collection,Rule,TCPv6 Connections Reset,The rule collects TCPv6\Connections Reset performance counter.,Frequency,int,600,1800,1200,600,300,,,,,
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.PhysicalDisk.DiskReadBytesPerSec.Collection,Rule,Disk Read Bytes Per Second Windows Server 2016 and 1709+ (Physical Disk),The rate at which bytes are transferred from the disk during read operations.,Enabled,bool,FALSE,,,,TRUE,,,,,Physical disks aren't discovered by default. User discresion.
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.PhysicalDisk.DiskReadBytesPerSec.Collection,Rule,Disk Read Bytes Per Second Windows Server 2016 and 1709+ (Physical Disk),The rate at which bytes are transferred from the disk during read operations.,Tolerance,double,10,,,,,,,,,
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.PhysicalDisk.DiskReadBytesPerSec.Collection,Rule,Disk Read Bytes Per Second Windows Server 2016 and 1709+ (Physical Disk),The rate at which bytes are transferred from the disk during read operations.,MaximumSampleSeparation,int,12,,,,,,,,,
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.PhysicalDisk.DiskReadBytesPerSec.Collection,Rule,Disk Read Bytes Per Second Windows Server 2016 and 1709+ (Physical Disk),The rate at which bytes are transferred from the disk during read operations.,Frequency,int,300,900,600,300,120,,,,,
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.OperatingSystem.MemoryCommittedBytes.Collection,Rule,Committed Bytes,Collects the performance counter Memory\Committed Bytes,Enabled,bool,FALSE,FALSE,FALSE,,TRUE,,,TRUE,TRUE,Allocated memory that the system must reserve space for in either Physical RAM or Page File. Can help indicate that a server is overloaded. Useful in conjunction with commit limit.
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.OperatingSystem.MemoryCommittedBytes.Collection,Rule,Committed Bytes,Collects the performance counter Memory\Committed Bytes,Tolerance,double,10,,,,,,,,,
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.OperatingSystem.MemoryCommittedBytes.Collection,Rule,Committed Bytes,Collects the performance counter Memory\Committed Bytes,MaximumSampleSeparation,int,6,,,,,,,,,
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.OperatingSystem.MemoryCommittedBytes.Collection,Rule,Committed Bytes,Collects the performance counter Memory\Committed Bytes,Frequency,int,600,1800,1200,600,300,,,,,
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.OperatingSystem.ServiceMisconfigured.Alert,Rule,A Service is misconfigured,A service has been detected as misconfigured.,Enabled,bool,TRUE,FALSE,,,,,,,,Can be caued by many things. Check the event that triggered it. Generates Alerts.
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.OperatingSystem.ServiceMisconfigured.Alert,Rule,A Service is misconfigured,A service has been detected as misconfigured.,Severity,int,2,,,,,,,,,
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.OperatingSystem.ServiceMisconfigured.Alert,Rule,A Service is misconfigured,A service has been detected as misconfigured.,Priority,int,1,,,,,,,,,
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.TCPv4.SegmentsReceivedPerSec.Collection,Rule,TCPv4 Segments Received Per Second,The rule collects TCPv4\Segments Received/sec performance counter.,Enabled,bool,FALSE,FALSE,FALSE,,TRUE,,TRUE,TRUE,TRUE,Useful for setting threshold on corresponding monitor and can also be used in conjunction with corresponding established metric to forecast future load as the number of users grow (Segments Received / Connections Established). Rapid increase can indicate increased service demand or some sort of security issue.
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.TCPv4.SegmentsReceivedPerSec.Collection,Rule,TCPv4 Segments Received Per Second,The rule collects TCPv4\Segments Received/sec performance counter.,Tolerance,double,10,,,,,,,,,
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.TCPv4.SegmentsReceivedPerSec.Collection,Rule,TCPv4 Segments Received Per Second,The rule collects TCPv4\Segments Received/sec performance counter.,MaximumSampleSeparation,int,100,,,,,,,,,
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.TCPv4.SegmentsReceivedPerSec.Collection,Rule,TCPv4 Segments Received Per Second,The rule collects TCPv4\Segments Received/sec performance counter.,Frequency,int,600,1800,1200,600,300,,,,,
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.PhysicalDisk.SplitIOPerSec.Collection,Rule,Physical Disk Split I/O Per Second Windows Server 2016 and 1709+,The rate at which I/Os to the disk were split into multiple I/Os.,Enabled,bool,FALSE,,,,TRUE,,,,,A large number of split IO requests can indicate that the disk is fragmented and performance is being affected. If the percentage of Split IOs is greater than ~20% the disk may require defragmenting. (Physical Disk(n)\Split IO/sec ÷ Physical Disk(n)\Disk Transfers/sec) * 100
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.PhysicalDisk.SplitIOPerSec.Collection,Rule,Physical Disk Split I/O Per Second Windows Server 2016 and 1709+,The rate at which I/Os to the disk were split into multiple I/Os.,Tolerance,double,10,,,,,,,,,
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.PhysicalDisk.SplitIOPerSec.Collection,Rule,Physical Disk Split I/O Per Second Windows Server 2016 and 1709+,The rate at which I/Os to the disk were split into multiple I/Os.,MaximumSampleSeparation,int,6,,,,,,,,,
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.PhysicalDisk.SplitIOPerSec.Collection,Rule,Physical Disk Split I/O Per Second Windows Server 2016 and 1709+,The rate at which I/Os to the disk were split into multiple I/Os.,Frequency,int,600,1800,1200,600,300,,,,,
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.OperatingSystem.ShareConfigurationInvalid.Collection,Rule,Collection rule for invalid Share Configuration Detected,Collection rule for events indicating that a share has invalid configuration.,Enabled,bool,FALSE,,,,,,,,,"Event collection rule (2507,2511 Server:System). Probably only useful if you are actually running reports on these."
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.OperatingSystem.SoftwareUpdatesScheduledForInstallation.Collection,Rule,Collection Rule for Software Updates Scheduled Installation Events,Collection rule for events indicating new software updates are scheduled.,Enabled,bool,FALSE,,,,,,,,,Event collection rule (18 Microsoft-Windows-WindowsUpdateClient:System). Probably only useful if you are actually running reports on these.
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.OperatingSystem.NetworkAdapterDisconnected.Collection,Rule,Collection rule for Network Adapter was Disconnected from the Network,Collection rule for events indicating the network adapter was disconnected from the network.,Enabled,bool,FALSE,,,,,,,,,Event collection rule (4202 TCPIP:System). Probably only useful if you are actually running reports on these.
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.NetworkAdapter.BytesReceivedPerSec.Collection,Rule,Network Adapter Bytes Received per Second Windows Server 2016 and 1709+,Collects the performance counter Network Interface\Bytes Received/sec,Enabled,bool,FALSE,FALSE,FALSE,,TRUE,TRUE,,,,On DCs Bytes Sent typically outsrips Bytes received. If they start to converge you might need to expand bandwidth allocated.
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.NetworkAdapter.BytesReceivedPerSec.Collection,Rule,Network Adapter Bytes Received per Second Windows Server 2016 and 1709+,Collects the performance counter Network Interface\Bytes Received/sec,Tolerance,double,25,,,,,,,,,
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.NetworkAdapter.BytesReceivedPerSec.Collection,Rule,Network Adapter Bytes Received per Second Windows Server 2016 and 1709+,Collects the performance counter Network Interface\Bytes Received/sec,MaximumSampleSeparation,int,12,,,,,,,,,
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.NetworkAdapter.BytesReceivedPerSec.Collection,Rule,Network Adapter Bytes Received per Second Windows Server 2016 and 1709+,Collects the performance counter Network Interface\Bytes Received/sec,Frequency,int,300,900,600,300,120,,,,,
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.OperatingSystem.SystemContextSwitchesPerSec.Collection,Rule,System Context Switches per Second Windows Server 2016 and 1709+,Collection rule for the performance counter System\Context Switches/sec,Enabled,bool,FALSE,,,,TRUE,,,,,"Processor context switches counts a thread giving up the processor, getting pushed out by a higher priority thread or when moving from userland to kernel. (system wide)"
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.OperatingSystem.SystemContextSwitchesPerSec.Collection,Rule,System Context Switches per Second Windows Server 2016 and 1709+,Collection rule for the performance counter System\Context Switches/sec,Tolerance,double,50,,,,,,,,,
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.OperatingSystem.SystemContextSwitchesPerSec.Collection,Rule,System Context Switches per Second Windows Server 2016 and 1709+,Collection rule for the performance counter System\Context Switches/sec,MaximumSampleSeparation,int,12,,,,,,,,,
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.OperatingSystem.SystemContextSwitchesPerSec.Collection,Rule,System Context Switches per Second Windows Server 2016 and 1709+,Collection rule for the performance counter System\Context Switches/sec,Frequency,int,300,900,600,300,120,,,,,
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.PhysicalDisk.DiskWritesPerSec.Collection,Rule,Physical Disk Writes per Second Windows Server 2016 and 1709+,Collects the performance counter PhysicalDisk\Disk Writes/sec.,Enabled,bool,FALSE,,,,TRUE,,,,TRUE,"Physical disks aren't discovered by default. For software-managed arrays, a comparison of Logical Disk and Physical Disk counters, specifically reads per second and writes per second, can give insight into how many requests are crossing stripe unit boundaries.  User discresion."
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.PhysicalDisk.DiskWritesPerSec.Collection,Rule,Physical Disk Writes per Second Windows Server 2016 and 1709+,Collects the performance counter PhysicalDisk\Disk Writes/sec.,Tolerance,double,10,,,,,,,,,
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.PhysicalDisk.DiskWritesPerSec.Collection,Rule,Physical Disk Writes per Second Windows Server 2016 and 1709+,Collects the performance counter PhysicalDisk\Disk Writes/sec.,MaximumSampleSeparation,int,12,,,,,,,,,
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.PhysicalDisk.DiskWritesPerSec.Collection,Rule,Physical Disk Writes per Second Windows Server 2016 and 1709+,Collects the performance counter PhysicalDisk\Disk Writes/sec.,Frequency,int,300,900,600,300,120,,,,,
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.OperatingSystem.ServiceEnteredUnpredictableState.Alert,Rule,A Service has Entered into an Unpredictable State,A service has entered an unpredictable state.,Enabled,bool,TRUE,FALSE,FALSE,,,,,,,"Can be a number of causes for this alert. Generally involves an SME of the service in question. (7037, 7030 System) Generates Alert"
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.OperatingSystem.ServiceEnteredUnpredictableState.Alert,Rule,A Service has Entered into an Unpredictable State,A service has entered an unpredictable state.,Severity,int,2,,,,,,,,,
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.OperatingSystem.ServiceEnteredUnpredictableState.Alert,Rule,A Service has Entered into an Unpredictable State,A service has entered an unpredictable state.,Priority,int,1,,,,,,,,,
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.LogicalDisk.PercentIdle.Collection,Rule,% Logical Disk Idle Time Windows Server 2016 and 1709+,The percentage of time during the sample interval that the disk was idle.,Enabled,bool,TRUE,FALSE,,,TRUE,,TRUE,,TRUE,"The amount of time your disk spends not working. Should be Over 85% ideally, less than 40% for long periods probably indicates that it's struggling. You could replace this with a faster disk system or attempt to move some applications to a different system to remove contention."
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.LogicalDisk.PercentIdle.Collection,Rule,% Logical Disk Idle Time Windows Server 2016 and 1709+,The percentage of time during the sample interval that the disk was idle.,Tolerance,double,50,,,,,,,,,
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.LogicalDisk.PercentIdle.Collection,Rule,% Logical Disk Idle Time Windows Server 2016 and 1709+,The percentage of time during the sample interval that the disk was idle.,MaximumSampleSeparation,int,12,,,,,,,,,
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.LogicalDisk.PercentIdle.Collection,Rule,% Logical Disk Idle Time Windows Server 2016 and 1709+,The percentage of time during the sample interval that the disk was idle.,Frequency,int,300,900,600,300,120,,,,,
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.OperatingSystem.TotalPercentDPCTime.Collection,Rule,Total Processor % DPC Time Windows Server 2016 and 1709+,Collects the performance counter Processor\% DPC Time,Enabled,bool,FALSE,FALSE,FALSE,,TRUE,,,,TRUE,"The amount of time that a processor spends handling deferred interrupts. High network traffic would normally involve a high DPC time. Use with % interrupt time and Total % to help diagnose processor bottlenecks or application/hardware issues. If total % is high (~85-90%) and % interrupt and % DPC is above ~ 15-25%, probably a performance bottleneck that could be addressed with adding compute. If total % normal/low and % interrupt or % DPC above ~ 15-25% performance issues could be because of hardware, driver, or application related issues."
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.OperatingSystem.TotalPercentDPCTime.Collection,Rule,Total Processor % DPC Time Windows Server 2016 and 1709+,Collects the performance counter Processor\% DPC Time,Tolerance,double,10,,,,,,,,,
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.OperatingSystem.TotalPercentDPCTime.Collection,Rule,Total Processor % DPC Time Windows Server 2016 and 1709+,Collects the performance counter Processor\% DPC Time,MaximumSampleSeparation,int,12,,,,,,,,,
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.OperatingSystem.TotalPercentDPCTime.Collection,Rule,Total Processor % DPC Time Windows Server 2016 and 1709+,Collects the performance counter Processor\% DPC Time,Frequency,int,300,900,600,300,120,,,,,
Microsoft.Windows.Server.2016.Monitoring,Microsoft.Windows.Server.10.0.TCPv6.SegmentsSentPerSec.Collection,Rule,TCPv6 Segments Sent Per Second,The rule collects TCPv6\Segments Sent/sec performance counter.,Enabled,bool,FALSE,FALSE,FALSE,,TRUE,,TRUE,TRUE,TRUE,Best used in conjuction with Retransmitted metric. Higher than ~2% retransmission and you probably have some sort of network congestion with the possibility of user experience being affected. 
